income,age,p
9500.0,97.0,0.0
9500.0,100.16,0.0
9500.0,103.32,0.0
9879.96,11.68,0.0
9879.96,14.84,0.0
9879.96,18.0,0.0
9879.96,21.16,0.0
9879.96,24.32,0.0
9879.96,27.48,0.0
9879.96,30.64,0.0
9879.96,33.8,0.0
9879.96,36.96,0.0
9879.96,40.12,0.0
9879.96,43.28,0.0
9879.96,46.44,0.0
9879.96,49.6,0.0
9879.96,52.76,0.0
9879.96,55.92,0.0
9879.96,59.08,0.0
9879.96,62.24,0.0
9879.96,65.4,0.0
9879.96,68.56,0.0
9879.96,71.72,0.0
9879.96,74.88,0.0
9879.96,78.04,0.0
9879.96,81.2,0.0
9879.96,84.36,0.0
9879.96,87.52,0.0
9879.96,90.68,0.0
9879.96,93.84,0.0
9879.96,97.0,0.0
9879.96,100.16,0.0
9879.96,103.32,0.0
10259.92,11.68,0.0
10259.92,14.84,0.0
10259.92,18.0,0.0
10259.92,21.16,0.0
10259.92,24.32,0.0
10259.92,27.48,0.0
10259.92,30.64,0.0
10259.92,33.8,0.0
10259.92,36.96,0.0
10259.92,40.12,0.0
10259.92,43.28,0.0
10259.92,46.44,0.0
10259.92,49.6,0.0
10259.92,52.76,0.0
10259.92,55.92,0.0
10259.92,59.08,0.0
10259.92,62.24,0.0
10259.92,65.4,0.0
10259.92,68.56,0.0
10259.92,71.72,0.0
10259.92,74.88,0.0
10259.92,78.04,0.0
10259.92,81.2,0.0
10259.92,84.36,0.0
10259.92,87.52,0.0
10259.92,90.68,0.0
10259.92,93.84,0.0
10259.92,97.0,0.0
10259.92,100.16,0.0
10259.92,103.32,0.0
